MESS_DATUM,P
2002-06-24,1020.72
2002-06-25,1024.99
2002-06-26,1021.25
2002-06-27,1012.74
2002-06-28,1014.61
2002-06-29,1020.12
2002-06-30,1016.54
2002-07-01,1009.71
2002-07-02,1008.32
2002-07-03,1006.7
2002-07-04,1014.28
2002-07-05,1015.82
2002-07-06,1014.84
2002-07-07,1018.07
2002-07-08,1014.56
2002-07-09,1009.45
2002-07-10,1010.3
2002-07-11,1020.11
2002-07-12,1019.35
2002-07-13,1014.4
2002-07-14,1017.25
2002-07-15,1016.58
2002-07-16,1010.27
2002-07-17,1008.78
2002-07-18,1014.08
2002-07-19,1016.38
2002-07-20,1016.26
2002-07-21,1011.96
2002-07-22,1017.89
2002-07-23,1014.74
2002-07-24,1011.83
2002-07-25,1015.27
2002-07-26,1018.53
2002-07-27,1020.63
2002-07-28,1019.41
2002-07-29,1016.56
2002-07-30,1010.69
2002-07-31,1007.09
2002-08-01,1009.46
2002-08-02,1014.75
2002-08-03,1013.87
2002-08-04,1012.71
2002-08-05,1013.54
2002-08-06,1012.5
2002-08-07,1014.38
2002-08-08,1013.35
2002-08-09,1007.39
2002-08-10,1003.32
2002-08-11,1002.12
2002-08-12,1006.41
2002-08-13,1016.95
2002-08-14,1020.38
2002-08-15,1018.68
2002-08-16,1018.52
2002-08-17,1017.04
2002-08-18,1014.81
2002-08-19,1015.98
2002-08-20,1014.77
2002-08-21,1015.03
2002-08-22,1016.37
2002-08-23,1016.68
2002-08-24,1018.1
2002-08-25,1020.29
2002-08-26,1015.42
2002-08-27,1012.94
2002-08-28,1013.76
2002-08-29,1015.61
2002-08-30,1018.02
2002-08-31,1017.55
2002-09-01,1024.83
2002-09-02,1026.8
2002-09-03,1019.1
2002-09-04,1013.95
2002-09-05,1014.87
2002-09-06,1016.63
2002-09-07,1014.83
2002-09-08,1013.03
2002-09-09,1012.06
2002-09-10,1017.78
2002-09-11,1023.12
2002-09-12,1023.59
2002-09-13,1023.12
2002-09-14,1018.92
2002-09-15,1018.22
2002-09-16,1018.78
2002-09-17,1017.2
2002-09-18,1016.01
2002-09-19,1014.94
2002-09-20,1016.39
2002-09-21,1015.84
2002-09-22,1008.86
2002-09-23,1009.73
2002-09-24,1015.34
2002-09-25,1016.03
2002-09-26,1015.28
2002-09-27,1020.9
2002-09-28,1028.93
2002-09-29,1030.06
2002-09-30,1028.76
2002-10-01,1025.95
2002-10-02,1024.44
2002-10-03,1022.55
2002-10-04,1023.26
2002-10-05,1021.64
2002-10-06,1010.38
2002-10-07,1017.65
2002-10-08,1015.64
2002-10-09,1013.63
2002-10-10,1011.55
2002-10-11,1013.23
2002-10-12,1013.39
2002-10-13,1014.1
2002-10-14,1011.29
2002-10-15,1012.26
2002-10-16,1005.19
2002-10-17,1001.71
2002-10-18,1008.95
2002-10-19,1016.65
2002-10-20,1020.14
2002-10-21,1006.6
2002-10-22,998.16
2002-10-23,1000.6
2002-10-24,1013.69
2002-10-25,1006.7
2002-10-26,1012.59
2002-10-27,1011.82
2002-10-28,1026.13
2002-10-29,1023.79
2002-10-30,1015.44
2002-10-31,1018.83
2002-11-01,1020.58
2002-11-02,1013.6
2002-11-03,1009.29
2002-11-04,1013.23
2002-11-05,1025.67
2002-11-06,1025.0
2002-11-07,1011.91
2002-11-08,1014.36
2002-11-09,999.93
2002-11-10,1010.86
2002-11-11,1004.47
2002-11-12,1012.91
2002-11-13,1004.12
2002-11-14,995.96
2002-11-15,996.55
2002-11-16,996.17
2002-11-17,1011.07
2002-11-18,1015.47
2002-11-19,1010.29
2002-11-20,1014.46
2002-11-21,1003.26
2002-11-22,1002.22
2002-11-23,1010.49
2002-11-24,1010.9
2002-11-25,1006.46
2002-11-26,1014.03
2002-11-27,1018.31
2002-11-28,1015.62
2002-11-29,1014.67
2002-11-30,1017.81
2002-12-01,1015.57
2002-12-02,1006.25
2002-12-03,1011.74
2002-12-04,1015.86
2002-12-05,1017.9
2002-12-06,1024.4
2002-12-07,1024.35
2002-12-08,1026.94
2002-12-09,1028.3
2002-12-10,1028.08
2002-12-11,1028.03
2002-12-12,1026.56
2002-12-13,1027.69
2002-12-14,1024.13
2002-12-15,1020.21
2002-12-16,1016.08
2002-12-17,1018.8
2002-12-18,1029.71
2002-12-19,1032.33
2002-12-20,1023.55
2002-12-21,1018.68
2002-12-22,1013.09
2002-12-23,1014.8
2002-12-24,1017.31
2002-12-25,1020.28
2002-12-26,1015.05
2002-12-27,1004.66
2002-12-28,1002.01
2002-12-29,1006.91
2002-12-30,1000.15
2002-12-31,1009.51
2003-01-01,1009.75
2003-01-02,991.72
2003-01-03,997.57
2003-01-04,1002.79
2003-01-05,1011.82
2003-01-06,1012.55
2003-01-07,1017.87
2003-01-08,1017.93
2003-01-09,1018.26
2003-01-10,1023.91
2003-01-11,1033.68
2003-01-12,1035.8
2003-01-13,1029.52
2003-01-14,1031.74
2003-01-15,1029.26
2003-01-16,1028.72
2003-01-17,1026.24
2003-01-18,1020.95
2003-01-19,1013.88
2003-01-20,1009.98
2003-01-21,999.48
2003-01-22,1000.58
2003-01-23,1013.77
2003-01-24,1033.82
2003-01-25,1034.79
2003-01-26,1030.36
2003-01-27,1024.92
2003-01-28,1011.81
2003-01-29,998.87
2003-01-30,999.28
2003-01-31,1011.74
2003-02-01,1022.24
2003-02-02,1013.52
2003-02-03,996.7
2003-02-04,994.48
2003-02-05,1001.71
2003-02-06,1017.28
2003-02-07,1024.35
2003-02-08,1024.39
2003-02-09,1024.85
2003-02-10,1027.07
2003-02-11,1030.77
2003-02-12,1031.17
2003-02-13,1028.57
2003-02-14,1028.74
2003-02-15,1032.61
2003-02-16,1034.97
2003-02-17,1036.11
2003-02-18,1030.45
2003-02-19,1023.93
2003-02-20,1018.88
2003-02-21,1024.76
2003-02-22,1029.77
2003-02-23,1033.45
2003-02-24,1032.1
2003-02-25,1025.23
2003-02-26,1019.0
2003-02-27,1018.35
2003-02-28,1024.61
2003-03-01,1021.75
2003-03-02,1013.72
2003-03-03,1018.12
2003-03-04,1024.24
2003-03-05,1021.59
2003-03-06,1016.58
2003-03-07,1023.03
2003-03-08,1022.82
2003-03-09,1022.68
2003-03-10,1024.86
2003-03-11,1019.12
2003-03-12,1020.04
2003-03-13,1032.55
2003-03-14,1034.52
2003-03-15,1040.21
2003-03-16,1041.78
2003-03-17,1033.46
2003-03-18,1032.11
2003-03-19,1027.49
2003-03-20,1025.62
2003-03-21,1026.87
2003-03-22,1028.34
2003-03-23,1029.38
2003-03-24,1027.79
2003-03-25,1023.51
2003-03-26,1020.13
2003-03-27,1017.73
2003-03-28,1015.28
2003-03-29,1013.42
2003-03-30,1013.63
2003-03-31,1021.48
2003-04-01,1016.38
2003-04-02,1003.63
2003-04-03,1016.2
2003-04-04,1025.34
2003-04-05,1019.62
2003-04-06,1021.83
2003-04-07,1024.01
2003-04-08,1023.08
2003-04-09,1014.23
2003-04-10,1004.47
2003-04-11,1012.45
2003-04-12,1016.9
2003-04-13,1022.32
2003-04-14,1020.8
2003-04-15,1022.69
2003-04-16,1024.63
2003-04-17,1027.53
2003-04-18,1025.33
2003-04-19,1015.83
2003-04-20,1010.71
2003-04-21,1011.35
2003-04-22,1013.04
2003-04-23,1013.5
2003-04-24,1017.62
2003-04-25,1016.83
2003-04-26,1009.95
2003-04-27,1012.3
2003-04-28,1009.47
2003-04-29,1012.25
2003-04-30,1011.84
2003-05-01,1019.65
2003-05-02,1015.61
2003-05-03,1020.44
2003-05-04,1021.22
2003-05-05,1013.05
2003-05-06,1014.89
2003-05-07,1020.93
2003-05-08,1016.29
2003-05-09,1016.21
2003-05-10,1019.3
2003-05-11,1019.54
2003-05-12,1016.3
2003-05-13,1014.95
2003-05-14,1020.22
2003-05-15,1022.77
2003-05-16,1018.24
2003-05-17,1014.16
2003-05-18,1015.37
2003-05-19,1012.18
2003-05-20,1017.04
2003-05-21,1022.87
2003-05-22,1024.47
2003-05-23,1016.3
2003-05-24,1007.64
2003-05-25,1012.23
2003-05-26,1019.87
2003-05-27,1021.75
2003-05-28,1020.35
2003-05-29,1016.3
2003-05-30,1013.67
2003-05-31,1012.42
2003-06-01,1012.1
2003-06-02,1011.38
2003-06-03,1013.04
2003-06-04,1014.2
2003-06-05,1017.1
2003-06-06,1019.05
2003-06-07,1017.52
2003-06-08,1013.18
2003-06-09,1019.02
2003-06-10,1016.22
2003-06-11,1018.35
2003-06-12,1017.45
2003-06-13,1019.38
2003-06-14,1018.64
2003-06-15,1016.91
2003-06-16,1014.21
2003-06-17,1012.07
2003-06-18,1016.2
2003-06-19,1020.74
2003-06-20,1016.59
2003-06-21,1018.34
2003-06-22,1014.02
2003-06-23,1008.98
2003-06-24,1015.89
2003-06-25,1018.58
2003-06-26,1015.55
2003-06-27,1013.74
2003-06-28,1012.83
2003-06-29,1008.32
2003-06-30,1003.92
2003-07-01,1004.33
2003-07-02,1005.4
2003-07-03,1009.17
2003-07-04,1012.79
2003-07-05,1014.66
2003-07-06,1018.7
2003-07-07,1021.83
2003-07-08,1020.04
2003-07-09,1017.58
2003-07-10,1017.75
2003-07-11,1017.56
2003-07-12,1018.03
2003-07-13,1019.1
2003-07-14,1016.28
2003-07-15,1012.1
2003-07-16,1009.68
2003-07-17,1017.14
2003-07-18,1022.49
2003-07-19,1020.67
2003-07-20,1015.08
2003-07-21,1015.14
2003-07-22,1016.81
2003-07-23,1016.37
2003-07-24,1014.26
2003-07-25,1014.16
2003-07-26,1012.39
2003-07-27,1011.41
2003-07-28,1019.6
2003-07-29,1022.84
2003-07-30,1018.26
2003-07-31,1015.34
2003-08-01,1017.8
2003-08-02,1018.5
2003-08-03,1019.24
2003-08-04,1020.5
2003-08-05,1020.68
2003-08-06,1020.56
2003-08-07,1019.73
2003-08-08,1017.5
2003-08-09,1016.98
2003-08-10,1014.28
2003-08-11,1017.81
2003-08-12,1019.77
2003-08-13,1015.95
2003-08-14,1013.4
2003-08-15,1014.66
2003-08-16,1016.29
2003-08-17,1014.87
2003-08-18,1015.06
2003-08-19,1018.93
2003-08-20,1017.47
2003-08-21,1015.51
2003-08-22,1016.36
2003-08-23,1017.94
2003-08-24,1016.98
2003-08-25,1014.75
2003-08-26,1011.75
2003-08-27,1011.66
2003-08-28,1007.9
2003-08-29,1001.44
2003-08-30,1011.03
2003-08-31,1016.22
2003-09-01,1017.97
2003-09-02,1023.87
2003-09-03,1029.3
2003-09-04,1029.08
2003-09-05,1022.71
2003-09-06,1018.58
2003-09-07,1015.24
2003-09-08,1008.8
2003-09-09,1009.39
2003-09-10,1014.08
2003-09-11,1013.76
2003-09-12,1023.88
2003-09-13,1029.33
2003-09-14,1030.82
2003-09-15,1027.18
2003-09-16,1024.56
2003-09-17,1023.78
2003-09-18,1021.2
2003-09-19,1020.91
2003-09-20,1022.53
2003-09-21,1020.77
2003-09-22,1012.34
2003-09-23,1013.19
2003-09-24,1029.69
2003-09-25,1030.2
2003-09-26,1021.27
2003-09-27,1018.1
2003-09-28,1012.21
2003-09-29,1013.24
2003-09-30,1017.26
2003-10-01,1012.22
2003-10-02,1011.87
2003-10-03,1008.94
2003-10-04,1004.86
2003-10-05,1006.17
2003-10-06,1012.74
2003-10-07,1002.62
2003-10-08,1009.25
2003-10-09,1014.05
2003-10-10,1018.1
2003-10-11,1021.95
2003-10-12,1026.49
2003-10-13,1026.19
2003-10-14,1029.44
2003-10-15,1032.22
2003-10-16,1031.43
2003-10-17,1027.35
2003-10-18,1017.35
