Date,P
1993-11,1022.2763333333334
1993-12,1010.6258064516129
1994-01,1014.9925806451613
1994-02,1016.8542857142858
1994-03,1018.05
1994-04,1011.7483333333333
1994-05,1013.5309677419355
1994-06,1017.9676666666667
1994-07,1016.691935483871
1994-08,1014.9525806451612
1994-09,1014.6573333333333
1994-10,1018.1393548387097
1994-11,1021.0419999999999
1994-12,1021.8532258064516
1995-01,1017.2203225806452
1995-02,1014.5771428571428
1995-03,1014.8390322580645
1995-04,1015.2909999999999
1995-05,1015.9087096774193
1995-06,1016.4036666666667
1995-07,1015.671935483871
1995-08,1016.4109677419356
1995-09,1013.1990000000001
1995-10,1023.5629032258065
1995-11,1019.9300000000001
1995-12,1019.0670967741936
1996-01,1019.5625806451612
1996-02,1015.0944827586208
1996-03,1018.1970967741936
1996-04,1017.8146666666667
1996-05,1013.52
1996-06,1019.5579999999999
1996-07,1017.7461290322581
1996-08,1016.2351612903226
1996-09,1016.197
1996-10,1018.6229032258065
1996-11,1012.4206666666666
1996-12,1017.198064516129
1997-01,1025.5848387096773
1997-02,1022.115
1997-03,1024.004193548387
1997-04,1019.4686666666668
1997-05,1015.6829032258064
1997-06,1011.582
1997-07,1016.9612903225806
1997-08,1017.1216129032258
1997-09,1022.0123333333333
1997-10,1018.6806451612903
1997-11,1012.669
1997-12,1015.1454838709677
1998-01,1019.4916129032257
1998-02,1026.952857142857
1998-03,1022.4348387096774
1998-04,1006.4216666666667
1998-05,1015.7729032258064
1998-06,1016.1123333333333
1998-07,1013.6848387096774
1998-08,1017.3032258064517
1998-09,1012.5736666666667
1998-10,1014.0029032258064
1998-11,1019.4326666666667
1998-12,1022.6509677419355
1999-01,1017.2509677419355
1999-02,1015.8553571428572
1999-03,1013.5083870967742
1999-04,1014.645
1999-05,1016.2522580645161
1999-06,1018.118
1999-07,1016.1487096774193
1999-08,1014.2964516129032
1999-09,1013.5373333333333
1999-10,1018.7696774193548
1999-11,1022.4386666666667
1999-12,1013.3132258064516
2000-01,1025.16
2000-02,1021.6620689655173
2000-03,1018.6829032258064
2000-04,1009.225
2000-05,1015.6812903225806
2000-06,1019.1703333333334
2000-07,1012.603870967742
2000-08,1017.6296774193548
2000-09,1015.251
2000-10,1015.565806451613
2000-11,1010.069
2000-12,1014.1245161290323
2001-01,1016.3912903225806
2001-02,1018.7278571428571
2001-03,1007.3038709677419
2001-04,1013.4256666666666
2001-05,1016.1870967741935
2001-06,1016.4543333333334
2001-07,1015.0567741935483
2001-08,1016.5354838709677
2001-09,1013.0006666666667
2001-10,1019.3809677419355
2001-11,1022.4413333333334
2001-12,1023.4683870967742
2002-01,1027.0987096774195
2002-02,1014.5892857142857
2002-03,1018.7012903225807
2002-04,1015.5930000000001
2002-05,1013.7906451612904
2002-06,1015.5496666666667
2002-07,1014.1970967741936
2002-08,1014.2161290322581
2002-09,1018.4633333333334
2002-10,1014.1274193548387
2002-11,1010.6556666666667
2002-12,1018.3525806451613
2003-01,1016.8825806451613
2003-02,1023.2164285714285
2003-03,1024.3177419354838
2003-04,1016.5376666666667
2003-05,1017.2977419354838
2003-06,1015.1173333333334
2003-07,1015.7083870967741
2003-08,1015.8554838709678
2003-09,1020.508
2003-10,1014.103870967742
2003-11,1018.1316666666667
2003-12,1019.6458064516129
2004-01,1011.6864516129032
2004-02,1019.4006896551724
2004-03,1021.4006451612903
2004-04,1013.246
2004-05,1014.3261290322581
2004-06,1016.999
2004-07,1015.9603225806452
2004-08,1012.8070967741936
2004-09,1019.4856666666667
2004-10,1013.7490322580645
2004-11,1020.5703333333333
2004-12,1020.766129032258
2005-01,1022.3822580645161
2005-02,1018.7860714285714
2005-03,1017.5896774193548
2005-04,1014.832
2005-05,1016.8303225806452
2005-06,1018.101
2005-07,1014.6632258064517
2005-08,1016.1996774193549
2005-09,1018.7603333333334
2005-10,1021.1651612903225
2005-11,1019.2666666666667
2005-12,1018.5506451612903
2006-01,1026.687741935484
2006-02,1015.9378571428571
2006-03,1012.4535483870968
2006-04,1014.9493333333334
2006-05,1016.1290322580645
2006-06,1020.249
2006-07,1018.933870967742
2006-08,1012.0003225806452
2006-09,1016.2800000000001
2006-10,1016.1045161290323
2006-11,1019.6736666666667
2006-12,1026.6848387096775
2007-01,1019.1245161290323
2007-02,1012.9639285714285
2007-03,1016.1916129032257
2007-04,1020.4033333333333
2007-05,1011.2361290322581
2007-06,1012.4713333333333
2007-07,1013.7390322580645
2007-08,1014.88
2007-09,1018.981
2007-10,1024.1435483870969
2007-11,1019.4703333333333
2007-12,1024.6883870967742
2008-01,1020.7135483870967
2008-02,1027.4610344827586
2008-03,1007.6996774193548
2008-04,1011.544
2008-05,1015.2606451612904
2008-06,1015.4726666666667
2008-07,1015.3096774193548
2008-08,1014.5641935483872
2008-09,1019.0310000000001
2008-10,1018.5803225806452
2008-11,1015.5593333333333
2008-12,1019.9609677419355
2009-01,1018.3270967741935
2009-02,1014.8132142857143
2009-03,1014.9374193548388
2009-04,1013.8763333333334
2009-05,1019.1787096774194
2009-06,1015.6343333333333
2009-07,1015.1987096774194
2009-08,1017.6938709677419
2009-09,1020.2900000000001
2009-10,1018.3506451612903
2009-11,1011.4666666666667
2009-12,1010.203870967742
2010-01,1016.1564516129032
2010-02,1006.9496428571429
2010-03,1017.5206451612903
2010-04,1019.2203333333333
2010-05,1013.3067741935483
2010-06,1014.617
2010-07,1016.4016129032258
2010-08,1014.1087096774194
2010-09,1016.507
2010-10,1016.3177419354838
2010-11,1009.4703703703703
2010-12,1013.7651612903226
2011-01,1020.5325806451614
2011-02,1020.5932142857143
2011-03,1022.8441935483871
2011-04,1018.691
2011-05,1019.0206451612903
2011-06,1016.3573333333334
2011-07,1012.8358064516129
2011-08,1014.9635483870967
2011-09,1018.1573333333333
2011-10,1021.8812903225806
2011-11,1024.0576666666666
2011-12,1015.52
2012-01,1021.4496774193548
2012-02,1028.46
2012-03,1027.1158064516128
2012-04,1007.161
2012-05,1015.4470967741936
2012-06,1014.096
2012-07,1015.5977419354838
2012-08,1017.0267741935485
2012-09,1017.0236666666666
2012-10,1014.7696774193548
2012-11,1015.1919999999999
2012-12,1014.2396774193548
2013-01,1015.793870967742
2013-02,1016.2132142857143
2013-03,1010.3380645161291
2013-04,1015.8476666666667
2013-05,1011.0809677419354
2013-06,1017.3539999999999
2013-07,1019.1158064516129
2013-08,1018.1125806451613
2013-09,1016.376
2013-10,1018.1241935483871
2013-11,1017.0773333333333
2013-12,1023.3706451612903
2014-01,1011.7154838709678
2014-02,1011.0792857142858
2014-03,1017.8925806451614
2014-04,1014.5843333333333
2014-05,1015.8929032258064
2014-06,1016.9476666666667
2014-07,1013.3503225806452
2014-08,1014.111935483871
2014-09,1018.224
2014-10,1018.2690322580645
2014-11,1014.4593333333333
2014-12,1020.1303225806452
2015-01,1017.4551612903226
2015-02,1018.6632142857143
2015-03,1020.7316129032258
2015-04,1020.8006666666666
2015-05,1016.4183870967743
2015-06,1018.6936666666667
2015-07,1015.1890322580646
2015-08,1015.3645161290323
2015-09,1018.5056666666666
2015-10,1019.742258064516
2015-11,1019.88
2015-12,1028.7887096774193
2016-01,1015.5967741935484
2016-02,1012.7231034482759
2016-03,1015.6741935483872
2016-04,1013.5766666666666
2016-05,1013.7222580645162
2016-06,1014.1229999999999
2016-07,1017.3467741935484
2016-08,1019.5996774193549
2016-09,1018.7493333333333
2016-10,1021.6793548387097
2016-11,1017.6763333333333
2016-12,1031.9090322580646
2017-01,1025.1822580645162
2017-02,1019.0003571428571
2017-03,1017.9958064516129
2017-04,1019.9733333333334
2017-05,1016.6496428571428
2017-06,1014.7396666666666
2017-07,1014.7064516129033
2017-08,1017.4887096774194
2017-09,1016.5360000000001
2017-10,1020.6903225806452
2017-11,1017.0493333333333
2017-12,1016.3922580645161
2018-01,1015.3741935483871
2018-02,1019.1235714285714
2018-03,1006.4141935483871
2018-04,1013.365
2018-05,1015.3570967741936
